Id,Label,Total_Frequency
drop,drop,40
fifty,fifty,14
top,top,16
west,west,5
free,free,6
bag,bag,6
mob,mob,3
set,set,5
good,good,15
abel,abel,3
talk,talk,14
start,start,5
wake,wake,2
girl,girl,9
house,house,5
real,real,3
taylor,taylor,2
change,change,5
baby,baby,4
hand,hand,7
record,record,6
white,white,5
head,head,7
delilah,delilah,3
pine,pine,2
number-one,number-one,1
numb,numb,2
pussy,pussy,4
book,book,1
america,america,1
tokyo,tokyo,1
big,big,8
hitmaker,hitmaker,2
backstage,backstage,1
city,city,3
step,step,1
bark,bark,2
picture,picture,3
wall,wall,2
extortion,extortion,1
career,career,1
excuse,excuse,1
hate,hate,4
pull,pull,1
contract,contract,1
split,split,3
pant,pant,1
motherfucking,motherfucking,3
show,show,4
inside,inside,1
maroon,maroon,1
verse,verse,2
pipsqueak,pipsqueak,1
sza,sza,1
wipe,wipe,3
travis,travis,1
label,label,1
boy,boy,14
feel,feel,5
aftermath,aftermath,1
mountain,mountain,1
difference,difference,1
tween,tween,1
mike,mike,4
prince,prince,2
king,king,1
metro,metro,2
shut,shut,1
6ix,6ix,3
god,god,1
manager,manager,1
chubbs,chubbs,1
lil,lil,5
blunt,blunt,1
chain,chain,4
rich,rich,1
cash,cash,1
run,run,5
blow,blow,1
bread,bread,2
jet,jet,1
whip,whip,1
spend,spend,2
drizzy,drizzy,2
chip,chip,2
dale,dale,1
roll,roll,2
loud,loud,1
stage,stage,1
turnt,turnt,1
slick,slick,1
kiss,kiss,2
hug,hug,1
rock,rock,2
bodyguard,bodyguard,1
fan,fan,4
rap,rap,7
love,love,3
late,late,4
cuff,cuff,1
jump,jump,1
song,song,3
light,light,3
check,check,1
stay,stay,2
shout,shout,2
hooper,hooper,1
bust,bust,1
trip,trip,4
heartbroken,heartbroken,1
brew,brew,1
pot,pot,1
care,care,1
cole,cole,2
dot,dot,4
champagne,champagne,1
call,call,6
nah,nah,4
beg,beg,3
kai,kai,1
beef,beef,3
cenat,cenat,1
numbers-wise,numbers-wise,1
money-wise,money-wise,1
cornball,cornball,1
money,money,2
merch-money,merch-money,1
beat,beat,3
smoke,smoke,6
twenty-nine,twenty-nine,1
don,don,1
kendrick,kendrick,3
coast,coast,4
engrave,engrave,1
hip-hop,hip-hop,2
deal,deal,3
nervous,nervous,1
son,son,4
canadian,canadian,1
no-debated,no-debated,1
young,young,2
hear,hear,3
budden,budden,1
podcast,podcast,1
spirit,spirit,1
makaveli,makaveli,1
write,write,2
snoop,snoop,2
dogg,dogg,1
shirt,shirt,1
burn,burn,2
tattoo,tattoo,1
jail,jail,2
leave,leave,7
motherfucker,motherfucker,1
break,break,1
game,game,6
bruise,bruise,1
lie,lie,4
people,people,4
fall,fall,2
back,back,5
homegirl,homegirl,1
number,number,1
industry,industry,2
relationship,relationship,1
suppose,suppose,1
blue,blue,2
case,case,1
pass,pass,2
peace,peace,4
work,work,3
live,live,2
dirty,dirty,2
shoe,shoe,2
orange,orange,1
jumpsuits,jumpsuits,1
shoot,shoot,2
violent,violent,1
homies,homies,1
owl,owl,1
move,move,6
lose,lose,4
wrong,wrong,1
tree,tree,2
pop,pop,3
crowd,crowd,1
world,world,1
watch,watch,1
d-o-g,d-o-g,1
post,post,1
unc,unc,1
lang,lang,1
gang,gang,3
high,high,1
sky,sky,1
howard,howard,1
bring,bring,3
week,week,4
moment,moment,2
wait,wait,7
act,act,3
tailor-made,tailor-made,1
schedule,schedule,1
ant,ant,1
corporate,corporate,1
puppet,puppet,1
room,room,2
tone,tone,1
booth,booth,1
kinda,kinda,1
true,true,3
guess,guess,3
figure,figure,1
rest,rest,1
loose,loose,3
spot,spot,6
gangster,gangster,1
turn,turn,2
milli,milli,1
pglang,pglang,1
mute,mute,1
beyoncé,beyoncé,1
challenge,challenge,1
