state,url,update_time,eevp,votes_harris_k,votes_trump_d,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
AL-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-alabama-president.html,2024-11-07T21:26:48.864Z,99,769391,1457704,2248337,34.22044826909845,64.83476453930172,2315970,36.685,62.227
AK-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-alaska-president.html,2024-11-08T23:32:35.095Z,76.5,103200,141826,255391,40.40862833850841,55.53288878621408,357569,43.007,53.123
AZ-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-arizona-president.html,2024-11-11T00:34:29.310Z,88.94,1417972,1601456,3049933,46.49190654352079,52.50790755075603,3385294,49.394,49.085
AR-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-arkansas-president.html,2024-11-09T04:55:26.779Z,99,395851,758651,1180969,33.519169427817324,64.23970485254058,1219069,34.775,62.396
CA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-california-president.html,2024-11-11T01:26:00.890Z,71.76,7267019,4792460,12416793,58.52573204691421,38.59660058760745,17496800,63.499,34.329
CO-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-colorado-president.html,2024-11-10T23:19:12.603Z,94.42,1686157,1341833,3110142,54.21479147897427,43.14378571782253,3256952,55.4,41.898
CT-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-connecticut-president.html,2024-11-08T20:02:25.134Z,98.05,986573,731164,1747012,56.472021943753106,41.85225974406587,1823316,59.278,39.199
DE-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-delaware-president.html,2024-11-06T22:25:33.088Z,99,289585,214184,511353,56.631133483132004,41.88574233455167,504010,58.782,39.801
FL-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-florida-president.html,2024-11-09T15:54:40.308Z,99,4680748,6109443,10890495,42.98012165654546,56.09885501072265,11066401,47.866,51.225
GA-G-P-2024-11-05,https://www.nytimes.com/interactive/2024/11/05/us/elections/results-georgia-president.html,2024-11-09T15:23:30.072Z,99,2544281,2661056,5244202,48.51607546772607,50.74282035665293,4997716,49.495,49.26
