Source,Target,Weight
drop,fifty,12
drop,bag,6
fifty,bag,6
top,drop,4
west,coast,4
free,dave,4
top,fifty,3
top,good,3
drop,good,3
drop,mob,3
fifty,mob,3
bag,mob,3
drop,spot,3
fifty,spot,3
bag,spot,3
mob,spot,3
drop,thot,3
fifty,thot,3
bag,thot,3
set,bang,3
fifty,good,2
good,motherfucking,2
abel,bread,2
talk,girl,2
start,song,2
top,peace,2
wake,demon,2
girl,young,2
house,blue,2
real,gang,2
taylor,swift,2
drop,album,2
change,white,2
baby,mama,2
talk,dave,2
hand,knee,2
drop,record,2
record,hundred,2
change,feature,2
white,feature,2
head,delilah,2
head,ice,2
delilah,ice,2
pine,box,2
number-one,fan,1
numb,hand,1
pussy,book,1
pussy,america,1
book,america,1
pussy,nan,1
book,nan,1
america,nan,1
hand,big,1
tokyo,big,1
tokyo,japan,1
big,japan,1
hitmaker,depend,1
backstage,city,1
backstage,friendzone,1
city,friendzone,1
big,step,1
big,size-seven,1
step,size-seven,1
bark,bite,1
picture,wall,1
picture,cook,1
wall,cook,1
extortion,baby,1
extortion,career,1
baby,career,1
hand,shake,1
extortion,shake,1
baby,shake,1
career,shake,1
top,push-ups,1
drop,push-ups,1
fifty,push-ups,1
excuse,hate,1
excuse,light,1
hate,light,1
pull,contract,1
pull,split,1
contract,split,1
split,pant,1
split,rip,1
pant,rip,1
city,good,1
good,show,1
motherfucking,show,1
good,inside,1
motherfucking,inside,1
show,inside,1
good,bity,1
motherfucking,bity,1
show,bity,1
inside,bity,1
good,maroon,1
good,verse,1
maroon,verse,1
good,witty,1
maroon,witty,1
verse,witty,1
verse,swifties,1
pipsqueak,pipe,1
big,sza,1
big,wipe,1
sza,wipe,1
wipe,travis,1
show,savage,1
wipe,savage,1
travis,savage,1
pussy,boy,1
split,boy,1
label,boy,1
label,scope,1
boy,scope,1
feel,aftermath,1
feel,write,1
aftermath,write,1
top,mountain,1
top,tight,1
mountain,tight,1
drop,talk,1
good,talk,1
talk,hike,1
big,difference,1
big,tween,1
difference,tween,1
big,mike,1
difference,mike,1
tween,mike,1
numb,twenty-v-one,1
mike,prince,1
prince,king,1
prince,son,1
king,son,1
city,love,1
talk,love,1
metro,shut,1
metro,drum,1
shut,drum,1
boy,6ix,1
6ix,god,1
6ix,frontrunner,1
god,frontrunner,1
manager,chubbs,1
manager,lil,1
chubbs,lil,1
manager,blunt,1
chubbs,blunt,1
lil,blunt,1
manager,runner,1
chubbs,runner,1
lil,runner,1
blunt,runner,1
boy,claim,1
6ix,claim,1
boy,rich,1
pussy,run,1
chain,run,1
top,run,1
good,run,1
boy,run,1
rich,run,1
cash,blow,1
chain,abel,1
run,abel,1
cash,abel,1
blow,abel,1
chain,bread,1
run,bread,1
cash,bread,1
blow,bread,1
cash,trick,1
blow,trick,1
abel,trick,1
bread,trick,1
chain,jet,1
chain,whip,1
jet,whip,1
chain,wicked,1
jet,wicked,1
whip,wicked,1
boy,spend,1
lil,spend,1
boy,trip,1
spend,trip,1
boy,chip,1
drizzy,chip,1
drizzy,dale,1
chip,dale,1
drizzy,chanel,1
chip,chanel,1
dale,chanel,1
boy,nail,1
chip,nail,1
roll,loud,1
roll,stage,1
loud,stage,1
roll,turnt,1
loud,turnt,1
stage,turnt,1
roll,slick,1
loud,slick,1
stage,slick,1
turnt,slick,1
roll,hell,1
loud,hell,1
stage,hell,1
turnt,hell,1
slick,hell,1
top,change,1
change,start,1
change,kiss,1
start,kiss,1
kiss,hug,1
kiss,switch,1
hug,switch,1
chain,rock,1
top,rock,1
good,rock,1
run,rock,1
chain,visit,1
rock,visit,1
bodyguard,whitney,1
top,midget,1
drop,midget,1
good,midget,1
fan,rap,1
top,rap,1
talk,rap,1
change,rap,1
rap,live,1
drop,late,1
love,late,1
hand,girl,1
big,girl,1
hate,girl,1
late,girl,1
late,cuff,1
girl,cuff,1
late,ricky,1
girl,ricky,1
cuff,ricky,1
fifty,jump,1
drop,turn,1
fifty,turn,1
jump,turn,1
drizzy,song,1
drizzy,chart,1
song,chart,1
lil,check,1
spend,check,1
light,stay,1
lil,stay,1
spend,stay,1
check,stay,1
lil,business,1
spend,business,1
check,business,1
stay,business,1
shout,hooper,1
shout,bust,1
hooper,bust,1
shout,griddy,1
hooper,griddy,1
bust,griddy,1
trip,mad,1
lil,heartbroken,1
feel,twitter,1
lil,twitter,1
heartbroken,twitter,1
hitmaker,dog,1
top,dog,1
drop,dog,1
fifty,dog,1
start,beef,1
song,beef,1
brew,pot,1
brew,heat,1
pot,heat,1
care,cole,1
care,dot,1
cole,dot,1
care,weak,1
cole,weak,1
dot,weak,1
trip,champagne,1
trip,ease,1
champagne,ease,1
top,call,1
boy,call,1
lil,call,1
call,peace,1
pussy,nah,1
pussy,speak,1
nah,speak,1
roll,deep,1
boy,beg,1
call,beg,1
boy,kai,1
beg,kai,1
boy,cenat,1
beg,cenat,1
kai,cenat,1
boy,beat,1
beef,beat,1
beg,beat,1
kai,beat,1
cenat,beat,1
numbers-wise,creep,1
money-wise,sneak,1
show,cornball,1
show,money,1
cornball,money,1
show,merch-money,1
cornball,merch-money,1
money,merch-money,1
show,fee,1
cornball,fee,1
money,fee,1
merch-money,fee,1
good,work,1
drop,team,1
fifty,team,1
beat,team,1
top,smoke,1
abel,smoke,1
hand,kendrick,1
top,kendrick,1
smoke,kendrick,1
boy,spot,1
drop,twenty-nine,1
fifty,twenty-nine,1
bag,twenty-nine,1
twenty-nine,thot,1
don,rise,1
hand,west,1
drop,west,1
show,west,1
kendrick,west,1
hand,coast,1
drop,coast,1
kendrick,coast,1
kendrick,savior,1
west,savior,1
coast,savior,1
talk,hip-hop,1
engrave,hip-hop,1
engrave,history,1
hip-hop,history,1
deal,viciously,1
nervous,publicity,1
dot,canadian,1
son,lightskin,1
dot,lightskin,1
canadian,lightskin,1
west,no-debated,1
coast,no-debated,1
west,victory,1
coast,victory,1
no-debated,victory,1
talk,young,1
talk,gift,1
girl,gift,1
young,gift,1
drop,hear,1
talk,hear,1
hear,budden,1
hear,podcast,1
budden,podcast,1
hear,true,1
budden,true,1
podcast,true,1
spirit,makaveli,1
