Source,Target,Weight
run,life,4
family,crodie,4
god,freaky-ass,4
master,manipulator,3
talk,hate,3
money,power,2
talk,walk,2
play,have-you-ever,2
walk,hate,2
die,son,2
family,love,2
talk,dress,2
walk,dress,2
hate,dress,2
hate,woman,2
real,woman,2
rap,life,2
back,record,2
rap,battle,2
live,purpose,2
world,father,2
beat,mustard,2
run,atlanta,2
talk,neck,1
pull,coffin,1
pull,mouth,1
coffin,mouth,1
paranoid,threat,1
d-o-t,money,1
d-o-t,power,1
d-o-t,respect,1
money,respect,1
power,respect,1
goofies,check,1
hope,sentiment,1
hope,symbolic,1
sentiment,symbolic,1
temperament,bipolar,1
temperament,choose,1
bipolar,choose,1
temperament,violence,1
bipolar,violence,1
choose,violence,1
prove,problem,1
cliquing,legit,1
cliquing,water,1
legit,water,1
hope,sneak,1
hope,dis,1
sneak,dis,1
hope,first-person,1
sneak,first-person,1
dis,first-person,1
hope,shooter,1
sneak,shooter,1
dis,shooter,1
first-person,shooter,1
hope,switch,1
sneak,switch,1
dis,switch,1
first-person,switch,1
shooter,switch,1
hope,rap,1
crash,rap,1
sneak,diss,1
crash,diss,1
rap,diss,1
crash,melle,1
rap,melle,1
diss,melle,1
crash,mel,1
rap,mel,1
diss,mel,1
melle,mel,1
2teez,snatch,1
2teez,chain,1
snatch,chain,1
2teez,burn,1
snatch,burn,1
chain,burn,1
2teez,tattoo,1
snatch,tattoo,1
chain,tattoo,1
burn,tattoo,1
money,lose,1
lose,soldier,1
lose,play,1
soldier,play,1
lose,safe,1
soldier,safe,1
play,safe,1
good,walk,1
walk,stick,1
walk,andré,1
stick,andré,1
drop,location,1
drop,ptsd,1
location,ptsd,1
good,work,1
good,light,1
work,light,1
good,pack,1
work,pack,1
light,pack,1
prince,outlive,1
prince,mike,1
outlive,mike,1
prince,jack,1
outlive,jack,1
mike,jack,1
fore,dog,1
fore,bury,1
dog,bury,1
pet,sematary,1
eurt,tuoba,1
eurt,yas,1
tuoba,yas,1
eurt,yeht,1
tuoba,yeht,1
yas,yeht,1
eurt,gnihtyreve,1
tuoba,gnihtyreve,1
yas,gnihtyreve,1
yeht,gnihtyreve,1
power,super,1
power,neutralize,1
super,neutralize,1
power,watch,1
super,watch,1
neutralize,watch,1
power,silence,1
super,silence,1
neutralize,silence,1
watch,silence,1
paranoid,famous,1
good,famous,1
paranoid,actor,1
famous,actor,1
paranoid,spiral,1
famous,spiral,1
actor,spiral,1
move,degenerate,1
move,antic,1
degenerate,antic,1
move,feel,1
degenerate,feel,1
antic,feel,1
move,distasteful,1
degenerate,distasteful,1
antic,distasteful,1
feel,distasteful,1
calculate,predict,1
calculate,angle,1
predict,angle,1
fabricate,story,1
talk,family,1
safe,family,1
fabricate,family,1
story,family,1
fabricate,front,1
story,front,1
family,front,1
fabricate,hear,1
story,hear,1
family,hear,1
front,hear,1
fabricate,morale,1
story,morale,1
family,morale,1
front,morale,1
hear,morale,1
pathetic,master,1
pathetic,manipulator,1
pathetic,smell,1
master,smell,1
manipulator,smell,1
pathetic,tale,1
master,tale,1
manipulator,tale,1
smell,tale,1
hope,you'rе,1
rap,you'rе,1
hope,artist,1
rap,artist,1
you'rе,artist,1
hope,scam,1
rap,scam,1
you'rе,scam,1
artist,scam,1
hope,accеpted,1
rap,accеpted,1
you'rе,accеpted,1
artist,accеpted,1
scam,accеpted,1
tommy,hilfiger,1
family,stand,1
tommy,stand,1
hilfiger,stand,1
tommy,fubu,1
hilfiger,fubu,1
stand,fubu,1
tommy,collection,1
hilfiger,collection,1
stand,collection,1
fubu,collection,1
play,music,1
