Id,Label,Total_Frequency
run,run,8
family,family,15
god,god,11
master,master,3
talk,talk,7
money,money,7
play,play,14
walk,walk,8
die,die,4
hate,hate,13
real,real,5
rap,rap,6
back,back,8
live,live,7
world,world,3
beat,beat,5
pull,pull,1
coffin,coffin,2
paranoid,paranoid,2
d-o-t,d-o-t,1
power,power,4
goofies,goofies,1
hope,hope,7
sentiment,sentiment,1
temperament,temperament,1
bipolar,bipolar,1
choose,choose,1
prove,prove,2
cliquing,cliquing,1
legit,legit,1
sneak,sneak,2
dis,dis,1
first-person,first-person,1
shooter,shooter,1
crash,crash,3
diss,diss,2
melle,melle,1
2teez,2teez,1
snatch,snatch,1
chain,chain,2
burn,burn,1
lose,lose,5
soldier,soldier,1
good,good,18
stick,stick,1
drop,drop,2
location,location,1
work,work,3
light,light,1
prince,prince,1
outlive,outlive,1
mike,mike,2
fore,fore,1
dog,dog,3
pet,pet,1
eurt,eurt,1
tuoba,tuoba,1
yas,yas,1
yeht,yeht,1
super,super,1
neutralize,neutralize,1
watch,watch,5
famous,famous,3
actor,actor,1
move,move,2
degenerate,degenerate,1
antic,antic,1
feel,feel,6
calculate,calculate,2
predict,predict,1
fabricate,fabricate,1
safe,safe,2
story,story,3
front,front,1
hear,hear,6
pathetic,pathetic,1
manipulator,manipulator,3
smell,smell,2
you'rе,you'rе,1
artist,artist,4
scam,scam,1
tommy,tommy,1
hilfiger,hilfiger,1
stand,stand,6
fubu,fubu,1
music,music,5
electrify,electrify,1
double,double,4
line,line,3
spare,spare,1
random,random,1
act,act,2
habitual,habitual,1
lie,lie,16
island,island,1
reaper,reaper,1
reap,reap,1
benjamin,benjamin,1
jackson,jackson,1
house,house,2
hellcat,hellcat,1
homeboys,homeboys,1
type,type,3
sell,sell,3
demon,demon,1
chip,chip,1
liar,liar,2
show,show,8
day,day,4
enemy,enemy,1
poker,poker,1
pay,pay,3
hundred,hundred,2
thou,thou,1
open,open,2
fail,fail,2
big,big,3
rapper,rapper,1
gun,gun,1
turn,turn,2
hop,hop,1
online,online,1
pray,pray,3
city,city,2
fake,fake,2
digital,digital,1
daddy,daddy,5
killer,killer,1
junior,junior,1
check,check,2
violence,violence,2
dementia,dementia,1
park,park,1
shoot,shoot,3
drac,drac,1
homie,homie,3
point,point,2
today,today,1
learn,learn,2
truth,truth,4
ring,ring,1
have-you-ever,have-you-ever,2
ready,ready,3
canadian,canadian,1
pac,pac,3
cutthroat,cutthroat,1
